sim_beta_c_c,sim_beta_e_c,sim_beta_c_e,sim_beta_e_e,sim_alpha_choice,sim_alpha_cf,sim_q_init,fit_beta_c_c,fit_beta_e_c,fit_beta_c_e,fit_beta_e_e,fit_alpha_choice,fit_alpha_cf,fit_q_init
-2.183,-0.044587,-0.25896,-2.0331,-5.3113,0.89135,-5.0142,-1.4469,-0.72706,-0.59969,-1.2212,-2.0646,1.1109,-1.5295
1.9655,-1.3915,-0.1574,-1.7023,-6.4762,-0.57081,4.1533,1.9025,-1.1307,-0.52952,-1.1395,-4.8223,-0.48353,3.3734
-1.7596,0.6494,-1.6187,-1.5863,-4.0161,1.7571,-1.9766,-2.8534,0.63059,-0.92206,-1.5859,-3.0747,2.6899,-0.97926
-0.69204,1.4662,1.5614,0.56676,-1.782,1.2577,2.2484,-1.0271,1.7331,1.7923,0.87092,-1.5286,0.99849,2.9935
-0.18442,-2.1758,0.077029,2.114,-3.3656,1.9477,-2.2709,-0.27137,-1.4232,0.72112,2.0208,-3.7396,1.1492,-1.2736
-0.58082,0.23024,0.32898,1.7877,-4.4544,-1.8947,-2.759,-1.0459,-0.96871,-1.3406,0.30399,0.26164,-0.90713,1.5277
1.3249,-0.045932,-1.9746,-0.97882,-4.3613,0.81136,-3.9166,1.0906,0.047317,-1.5297,-1.2885,-2.5178,2.0893,-1.249
0.45996,-1.1015,-1.5976,1.6663,-4.3246,1.0794,-4.2674,0.44977,-2.0926,-0.11025,1.8737,-4.1223,0.47624,-3.4663
-0.64003,0.015998,-2.0476,-2.3136,-2.5471,1.36,-5.137,-0.76434,-0.28915,-1.976,-1.3683,-1.2517,0.86375,-1.4602
2.652,0.58365,1.6806,2.1873,-2.6377,1.6729,-1.8351,2.6191,0.60521,1.5858,1.9657,-2.5057,1.4121,-1.784
0.10308,2.1071,-1.2816,1.0307,-3.0274,0.34531,-5.0359,0.73446,1.9924,-1.4366,1.051,-3.8945,0.44275,-3.4763
1.9869,0.44862,1.4167,0.98014,-6.5088,-0.83709,-3.5885,1.9375,0.96262,1.7736,1.1055,-4.1791,-1.0184,-2.0515
0.99519,2.2597,2.0397,0.25159,0.10698,-1.9212,1.5296,0.71727,2.4373,2.0186,0.21614,0.2906,-2.3501,0.6813
-0.76691,-1.8609,-1.3204,-0.10331,-3.0745,-0.71806,-1.5986,-0.43154,-0.95986,-1.1993,0.083809,-1.4782,-1.2891,-0.0071426
-1.2268,2.0207,1.9362,2.2214,0.099963,1.5496,-2.4887,-0.76534,1.8825,1.6191,1.992,0.56559,1.8733,-1.5158
-0.53626,0.89475,1.2637,-1.9296,-4.4352,0.21375,-4.2062,0.042644,0.73342,1.2697,-2.6257,-4.2701,0.066648,-2.2767
-2.3512,0.55793,-1.2833,-2.0604,-6.4381,0.2643,4.2875,-0.16476,0.39223,-1.5738,-1.5431,-3.213,-0.097006,2.0477
0.89651,1.2595,-1.5926,1.196,1.6287,0.58205,-4.9991,0.99209,1.138,-1.4371,1.1803,1.1546,0.2159,1.0924
1.3637,-2.1159,-0.9232,-0.50821,-4.5703,-0.49261,-4.5788,1.2975,-0.22377,-1.6573,0.32694,-3.6139,-0.5077,-2.081
